Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
03/01/26,UPI-ZAVIAN RESTAURANT-PAYTMQR556839@PTYS-YESB0PTMUPI-540615847120-UPI,4564745884055359,03/01/26,656.00,,48901.00
03/01/26,IMPS-SELF-SBI-859487768166,4933546176556562,03/01/26,3000.00,,49557.00
03/01/26,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR220768@PTYS-INDB0MERCHA-123214436995-UPI,8217667509313915,03/01/26,452.00,,52557.00
03/01/26,IMPS-SELF-SBI-570624302032,7390599540818441,03/01/26,5000.00,,53009.00
03/01/26,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR175576@PTYS-INDB0MERCHA-146136716197-UPI,5141095878147806,03/01/26,566.00,,58009.00
03/12/25,IMPS-SELF-ICICI-893774408754,8481100423061980,03/12/25,5000.00,,53736.00
03/12/25,UPI-GOPALAKRISHNAN S-Q334978881@HDFCBANK-YESB0YBLUPI-981223723215-UPI,6020662365887652,03/12/25,1000.00,,59486.00
03/12/25,UPI-STARBUCKS-PAYTMQR618392@PTYS-SBIP0123456-368004468323-UPI,7193551817009897,03/12/25,271.00,,60486.00
03/12/25,UPI-ANANDA RAJ C-Q925159146@INDUS-YESB0YBLUPI-598529001200-UPI,6672422948331101,03/12/25,1000.00,,60757.00
03/12/25,UPI-HABIB RAHMAN-Q341206079@PTYS-YESB0YBLUPI-318212526070-UPI,1416255450332687,03/12/25,500.00,,61757.00
03/12/25,UPI-GOPALAKRISHNAN S-Q243171768@HDFCBANK-YESB0YBLUPI-610248199023-UPI,7802691111373731,03/12/25,750.00,,58736.00
04/01/26,UPI-RISHI S KITCHEN-PAYTMQR656379@PTYS-HDFC0MERUPI-312643624935-UPI,7551647700495369,04/01/26,477.00,,45424.00
04/01/26,IMPS-SELF-ICICI-262414347262,2319049322653130,04/01/26,2000.00,,43424.00
04/12/25,UPI-CHINNAMANI V VIJAYAS-Q922286180@PTYS-YESB0YBLUPI-674570738361-UPI,3154933813155305,04/12/25,1000.00,,52156.00
04/12/25,UPI-HABIB RAHMAN-Q511281012@SBIPAY-YESB0YBLUPI-270484216305-UPI,4736797917039953,04/12/25,500.00,,50906.00
04/12/25,UPI-STARBUCKS-PAYTMQR535970@PTYS-SBIP0123456-323605728604-UPI,9150058599235723,04/12/25,550.00,,50356.00
04/12/25,UPI-RISHI S KITCHEN-PAYTMQR998348@PTYS-HDFC0MERUPI-941301014309-UPI,5296253124945588,04/12/25,709.00,,49647.00
04/12/25,UPI-ZAVIAN RESTAURANT-PAYTMQR879779@PTYS-YESB0PTMUPI-623391135280-UPI,7771403602419871,04/12/25,580.00,,53156.00
04/12/25,UPI-GOPALAKRISHNAN S-Q351785565@PTYS-YESB0YBLUPI-466239227673-UPI,5865261184051229,04/12/25,750.00,,51406.00
05/01/26,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR935012@PTYS-INDB0MERCHA-749719776103-UPI,5569683505767075,05/01/26,177.00,,41479.00
05/01/26,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR757685@PTYS-INDB0MERCHA-264566563474-UPI,5223662542239067,05/01/26,570.00,,41656.00
05/01/26,UPI-STARBUCKS-PAYTMQR586490@PTYS-SBIP0123456-721715610769-UPI,5043379190531406,05/01/26,898.00,,42226.00
05/01/26,UPI-GAYATHRI ELUMALAI-Q916274954@SBIPAY-YESB0YBLUPI-820520073075-UPI,9568477696225990,05/01/26,300.00,,43124.00
05/01/26,UPI-NETFLIX-SUBSCRIPTION,3795903769258175,05/01/26,199.00,,41280.00
05/12/25,UPI-NETFLIX-SUBSCRIPTION,4027584246621516,05/12/25,199.00,,45882.00
05/12/25,IMPS-SELF-SBI-528437913341,7733020678116011,05/12/25,3000.00,,46647.00
05/12/25,UPI-ZAVIAN RESTAURANT-PAYTMQR611945@PTYS-YESB0PTMUPI-397295152191-UPI,1261432450156735,05/12/25,566.00,,46081.00
06/01/26,UPI-ANANDA RAJ C-Q261985842@INDUS-YESB0YBLUPI-168537895666-UPI,8304537224190299,06/01/26,1000.00,,34377.00
06/01/26,IMPS-SELF-SBI-885903361820,6819794522251163,06/01/26,2000.00,,32377.00
06/01/26,UPI-RISHI S KITCHEN-PAYTMQR571579@PTYS-HDFC0MERUPI-992962570107-UPI,2695509859193304,06/01/26,705.00,,35377.00
06/01/26,IMPS-SELF-HDFC-755476469892,5167734836162973,06/01/26,5000.00,,36082.00
06/01/26,UPI-RISHI S KITCHEN-PAYTMQR486649@PTYS-HDFC0MERUPI-417104722442-UPI,8784472079031445,06/01/26,198.00,,41082.00
06/12/25,IMPS-SELF-SBI-563134588274,1737745823381712,06/12/25,3000.00,,40966.00
06/12/25,UPI-KALISHNATHAN-Q451492250@HDFCBANK-YESB0YBLUPI-599125280348-UPI,7856547370430367,06/12/25,750.00,,43966.00
06/12/25,UPI-GAYATHRI ELUMALAI-Q190137896@YBL-YESB0YBLUPI-570912023998-UPI,5158610102417507,06/12/25,500.00,,44716.00
06/12/25,UPI-RISHI S KITCHEN-PAYTMQR466960@PTYS-HDFC0MERUPI-813927597991-UPI,9622463734703007,06/12/25,190.00,,40776.00
06/12/25,UPI-STARBUCKS-PAYTMQR233827@PTYS-SBIP0123456-787111968895-UPI,9168886178891257,06/12/25,666.00,,45216.00
07/01/26,UPI-CHINNAMANI V VIJAYAS-Q571825556@HDFCBANK-YESB0YBLUPI-673481507677-UPI,4358352455789220,07/01/26,500.00,,31877.00
07/01/26,IMPS-SELF-SBI-952159175784,6385277724704175,07/01/26,3000.00,,28877.00
07/01/26,UPI-CHINNAMANI V VIJAYAS-Q170772317@PTYS-YESB0YBLUPI-204495226137-UPI,3269775472220990,07/01/26,1000.00,,27877.00
07/12/25,UPI-ZAVIAN RESTAURANT-PAYTMQR309044@PTYS-YESB0PTMUPI-125079296952-UPI,3148622468810635,07/12/25,756.00,,40020.00
07/12/25,UPI-CHINNAMANI V VIJAYAS-Q705557720@YBL-YESB0YBLUPI-340293786713-UPI,3308036824670960,07/12/25,1000.00,,39020.00
08/01/26,UPI-CHINNAMANI V VIJAYAS-Q238460786@HDFCBANK-YESB0YBLUPI-879944763170-UPI,6034321475846703,08/01/26,300.00,,22577.00
08/01/26,UPI-ANANDA RAJ C-Q343248743@SBIPAY-YESB0YBLUPI-254618722248-UPI,3664254444476244,08/01/26,500.00,,21473.00
08/01/26,IMPS-SELF-SBI-740300175457,9257315752158840,08/01/26,5000.00,,22877.00
08/01/26,UPI-RISHI S KITCHEN-PAYTMQR632351@PTYS-HDFC0MERUPI-696016368562-UPI,5742575403105939,08/01/26,876.00,,20597.00
08/01/26,UPI-KALISHNATHAN-Q819532005@SBIPAY-YESB0YBLUPI-915816619507-UPI,7038932951261673,08/01/26,300.00,,22277.00
08/01/26,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR119116@PTYS-INDB0MERCHA-440859761513-UPI,2929277624800525,08/01/26,304.00,,21973.00
08/12/25,UPI-GAYATHRI ELUMALAI-Q935147672@YBL-YESB0YBLUPI-279612530880-UPI,6212325530065941,08/12/25,750.00,,38270.00
08/12/25,UPI-KALISHNATHAN-Q827296111@INDUS-YESB0YBLUPI-535403628009-UPI,6333142822224198,08/12/25,500.00,,37770.00
08/12/25,UPI-ZAVIAN RESTAURANT-PAYTMQR206851@PTYS-YESB0PTMUPI-949102978448-UPI,7163260246905176,08/12/25,428.00,,37342.00
08/12/25,UPI-RISHI S KITCHEN-PAYTMQR934904@PTYS-HDFC0MERUPI-722700869939-UPI,5798540817782920,08/12/25,162.00,,37180.00
09/01/26,UPI-ZAVIAN RESTAURANT-PAYTMQR726258@PTYS-YESB0PTMUPI-269121724065-UPI,8488087278742468,09/01/26,286.00,,20311.00
09/01/26,UPI-ZAVIAN RESTAURANT-PAYTMQR856215@PTYS-YESB0PTMUPI-149124433247-UPI,7092133501155817,09/01/26,540.00,,19771.00
09/12/25,UPI-GAYATHRI ELUMALAI-Q599154414@HDFCBANK-YESB0YBLUPI-751679795363-UPI,8671547414351232,09/12/25,750.00,,34874.00
09/12/25,UPI-GOPALAKRISHNAN S-Q584044963@PTYS-YESB0YBLUPI-925681106315-UPI,6497380197739158,09/12/25,1000.00,,33874.00
09/12/25,UPI-RISHI S KITCHEN-PAYTMQR554582@PTYS-HDFC0MERUPI-499263542423-UPI,8464334867186312,09/12/25,770.00,,36278.00
09/12/25,UPI-RISHI S KITCHEN-PAYTMQR630538@PTYS-HDFC0MERUPI-476443331852-UPI,4783556304062925,09/12/25,132.00,,37048.00
09/12/25,UPI-ZAVIAN RESTAURANT-PAYTMQR556641@PTYS-YESB0PTMUPI-903915386825-UPI,6858803394890065,09/12/25,654.00,,35624.00
10/01/26,IMPS-SELF-ICICI-925857476973,5043586226562025,10/01/26,5000.00,,14771.00
10/01/26,IMPS-SELF-SBI-943796490407,4439602131215108,10/01/26,3000.00,,11271.00
10/01/26,UPI-HABIB RAHMAN-Q968253265@PTYS-YESB0YBLUPI-618764920062-UPI,7109644098032429,10/01/26,500.00,,14271.00
10/12/25,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR796212@PTYS-INDB0MERCHA-506224688058-UPI,5782117748762438,10/12/25,604.00,,30772.00
10/12/25,UPI-STARBUCKS-PAYTMQR931450@PTYS-SBIP0123456-198858307061-UPI,4642519765813948,10/12/25,421.00,,31376.00
10/12/25,UPI-GAYATHRI ELUMALAI-Q696776072@PTYS-YESB0YBLUPI-666979281770-UPI,3173941014248231,10/12/25,500.00,,32624.00
10/12/25,UPI-ANANDA RAJ C-Q295249057@PTYS-YESB0YBLUPI-334022245021-UPI,3327033887505886,10/12/25,750.00,,33124.00
10/12/25,UPI-STARBUCKS-PAYTMQR682144@PTYS-SBIP0123456-365249297449-UPI,6817775765404906,10/12/25,827.00,,31797.00
11/01/26,UPI-ZAVIAN RESTAURANT-PAYTMQR956572@PTYS-YESB0PTMUPI-981325990907-UPI,8863299734377992,11/01/26,739.00,,10532.00
11/01/26,UPI-CHINNAMANI V VIJAYAS-Q498585961@HDFCBANK-YESB0YBLUPI-882124667398-UPI,1755477381768144,11/01/26,300.00,,10232.00
11/01/26,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR571145@PTYS-INDB0MERCHA-666528976346-UPI,4940404135164491,11/01/26,270.00,,9962.00
11/01/26,UPI-ZAVIAN RESTAURANT-PAYTMQR504924@PTYS-YESB0PTMUPI-190170799779-UPI,1253889366155089,11/01/26,503.00,,8459.00
11/01/26,UPI-HABIB RAHMAN-Q475364113@HDFCBANK-YESB0YBLUPI-129766150285-UPI,4570939117846108,11/01/26,1000.00,,8962.00
11/01/26,UPI-GOPALAKRISHNAN S-Q949738493@PTYS-YESB0YBLUPI-250951132355-UPI,9263170417290650,11/01/26,300.00,,8159.00
11/12/25,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR859782@PTYS-INDB0MERCHA-678790685708-UPI,9831652271921741,11/12/25,731.00,,29144.00
11/12/25,UPI-CHINNAMANI V VIJAYAS-Q438817025@SBIPAY-YESB0YBLUPI-916557269948-UPI,2949018326881352,11/12/25,500.00,,29875.00
11/12/25,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR468900@PTYS-INDB0MERCHA-601234945339-UPI,3264441219373095,11/12/25,397.00,,30375.00
11/12/25,UPI-HABIB RAHMAN-Q344258191@PTYS-YESB0YBLUPI-294823500706-UPI,7377261991148069,11/12/25,750.00,,28394.00
12/01/26,UPI-ZAVIAN RESTAURANT-PAYTMQR895702@PTYS-YESB0PTMUPI-618426330316-UPI,1047298822764192,12/01/26,579.00,,7580.00
12/01/26,IMPS-SELF-HDFC-337322386179,9468801691479874,12/01/26,2000.00,,5580.00
12/01/26,UPI-STARBUCKS-PAYTMQR216587@PTYS-SBIP0123456-416866248678-UPI,2097511466450618,12/01/26,363.00,,5217.00
12/01/26,UPI-ANANDA RAJ C-Q590822013@INDUS-YESB0YBLUPI-220528838961-UPI,5828344667595722,12/01/26,1000.00,,4217.00
12/01/26,UPI-GAYATHRI ELUMALAI-Q359779090@INDUS-YESB0YBLUPI-257704947058-UPI,1014089336297889,12/01/26,750.00,,3467.00
12/12/25,UPI-ANANDA RAJ C-Q731924051@PTYS-YESB0YBLUPI-572403587152-UPI,6593716308947811,12/12/25,750.00,,24348.00
12/12/25,UPI-HABIB RAHMAN-Q699226355@YBL-YESB0YBLUPI-558549792976-UPI,5706918120806929,12/12/25,500.00,,25098.00
12/12/25,UPI-RISHI S KITCHEN-PAYTMQR259097@PTYS-HDFC0MERUPI-989699029003-UPI,3736709992834554,12/12/25,696.00,,25598.00
12/12/25,UPI-GOPALAKRISHNAN S-Q612957813@PTYS-YESB0YBLUPI-538367312099-UPI,6197344538037399,12/12/25,1000.00,,26294.00
12/12/25,UPI-RISHI S KITCHEN-PAYTMQR112861@PTYS-HDFC0MERUPI-411703232379-UPI,4967392196395946,12/12/25,600.00,,27294.00
12/12/25,UPI-GOPALAKRISHNAN S-Q694164665@YBL-YESB0YBLUPI-865758896013-UPI,8822405200997622,12/12/25,500.00,,27894.00
13/01/26,UPI-GAYATHRI ELUMALAI-Q301126777@HDFCBANK-YESB0YBLUPI-837292860632-UPI,9778906811438442,13/01/26,300.00,,3167.00
13/01/26,UPI-GAYATHRI ELUMALAI-Q644738967@INDUS-YESB0YBLUPI-707770611156-UPI,8866268639348381,13/01/26,300.00,,2867.00
13/01/26,UPI-STARBUCKS-PAYTMQR491435@PTYS-SBIP0123456-921428173109-UPI,8102357022867714,13/01/26,136.00,,2731.00
13/01/26,UPI-HABIB RAHMAN-Q928393291@YBL-YESB0YBLUPI-909953107386-UPI,1399338042237343,13/01/26,750.00,,1981.00
13/01/26,UPI-KALISHNATHAN-Q991617660@SBIPAY-YESB0YBLUPI-854965668757-UPI,7263509639165783,13/01/26,1000.00,,981.00
13/01/26,UPI-ZAVIAN RESTAURANT-PAYTMQR950916@PTYS-YESB0PTMUPI-169298664175-UPI,9499241101322735,13/01/26,853.00,,128.00
13/12/25,UPI-HABIB RAHMAN-Q692697161@SBIPAY-YESB0YBLUPI-272121093022-UPI,5057775186680717,13/12/25,300.00,,23712.00
13/12/25,UPI-RISHI S KITCHEN-PAYTMQR899787@PTYS-HDFC0MERUPI-788087209613-UPI,6948608151017777,13/12/25,336.00,,24012.00
14/11/25,UPI-KALISHNATHAN-Q339670711@SBIPAY-YESB0YBLUPI-908053162473-UPI,7671341247540589,14/11/25,300.00,,24700.00
14/11/25,IMPS-SELF-HDFC-566392613993,1843931136871022,14/11/25,2000.00,,22700.00
14/12/25,UPI-ZAVIAN RESTAURANT-PAYTMQR377405@PTYS-YESB0PTMUPI-970967089400-UPI,6955408480727885,14/12/25,760.00,,22543.00
14/12/25,UPI-ZAVIAN RESTAURANT-PAYTMQR545790@PTYS-YESB0PTMUPI-697493414595-UPI,2341978198107042,14/12/25,350.00,,22193.00
14/12/25,IMPS-SELF-HDFC-164731212366,3770721166701735,14/12/25,2000.00,,20193.00
14/12/25,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR560485@PTYS-INDB0MERCHA-611635203107-UPI,7302638179675013,14/12/25,825.00,,19368.00
14/12/25,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR624783@PTYS-INDB0MERCHA-643485082462-UPI,6386632364021336,14/12/25,568.00,,18800.00
14/12/25,UPI-RISHI S KITCHEN-PAYTMQR342720@PTYS-HDFC0MERUPI-874331514343-UPI,8742647937990157,14/12/25,409.00,,23303.00
15/11/25,UPI-HABIB RAHMAN-Q209747451@PTYS-YESB0YBLUPI-517010168081-UPI,8633549996200590,15/11/25,300.00,,20566.00
15/11/25,UPI-RISHI S KITCHEN-PAYTMQR895667@PTYS-HDFC0MERUPI-275259659197-UPI,4064705793946897,15/11/25,834.00,,20866.00
15/11/25,UPI-GAYATHRI ELUMALAI-Q702632297@YBL-YESB0YBLUPI-886833016361-UPI,5046113542687712,15/11/25,1000.00,,21700.00
15/12/25,IMPS-SELF-ICICI-762809324231,1822598017422577,15/12/25,3000.00,,15800.00
15/12/25,UPI-CHINNAMANI V VIJAYAS-Q730418447@INDUS-YESB0YBLUPI-125558432468-UPI,1362373160692779,15/12/25,750.00,,15050.00
16/11/25,UPI-RISHI S KITCHEN-PAYTMQR793384@PTYS-HDFC0MERUPI-947087372942-UPI,1718702583970380,16/11/25,416.00,,19153.00
16/11/25,UPI-GAYATHRI ELUMALAI-Q990566476@PTYS-YESB0YBLUPI-781304820142-UPI,2731982401558975,16/11/25,750.00,,19569.00
16/11/25,UPI-RISHI S KITCHEN-PAYTMQR865179@PTYS-HDFC0MERUPI-690383734374-UPI,9307299858652492,16/11/25,247.00,,20319.00
16/11/25,IMPS-SELF-HDFC-406575307735,8513000042575663,16/11/25,3000.00,,16153.00
16/12/25,UPI-HABIB RAHMAN-Q542000551@PTYS-YESB0YBLUPI-644145185035-UPI,9513547149447960,16/12/25,750.00,,10530.00
16/12/25,UPI-STARBUCKS-PAYTMQR391668@PTYS-SBIP0123456-579255341440-UPI,5429072557038428,16/12/25,770.00,,14280.00
16/12/25,IMPS-SELF-SBI-548171080147,7036023862681533,16/12/25,3000.00,,11280.00
17/11/25,UPI-CHINNAMANI V VIJAYAS-Q275452091@SBIPAY-YESB0YBLUPI-518597220210-UPI,9335182856808166,17/11/25,750.00,,15103.00
17/11/25,UPI-ZAVIAN RESTAURANT-PAYTMQR817870@PTYS-YESB0PTMUPI-953703406284-UPI,8402136600241401,17/11/25,177.00,,14926.00
17/11/25,UPI-KALISHNATHAN-Q387484583@HDFCBANK-YESB0YBLUPI-332212511873-UPI,6903665389810031,17/11/25,750.00,,14176.00
17/11/25,UPI-KALISHNATHAN-Q819595113@SBIPAY-YESB0YBLUPI-869945806981-UPI,6719374341079667,17/11/25,300.00,,15853.00
17/12/25,UPI-STARBUCKS-PAYTMQR156837@PTYS-SBIP0123456-667741343954-UPI,7813435713351405,17/12/25,490.00,,7662.00
17/12/25,IMPS-SELF-SBI-666355478456,8830565723860554,17/12/25,2000.00,,8152.00
17/12/25,UPI-RISHI S KITCHEN-PAYTMQR576919@PTYS-HDFC0MERUPI-443975597605-UPI,2044129412944417,17/12/25,378.00,,10152.00
17/12/25,UPI-STARBUCKS-PAYTMQR896907@PTYS-SBIP0123456-323559970300-UPI,2180061803325588,17/12/25,393.00,,7269.00
17/12/25,IMPS-SELF-SBI-868287386081,1260030726522806,17/12/25,3000.00,,4269.00
18/11/25,UPI-RISHI S KITCHEN-PAYTMQR503457@PTYS-HDFC0MERUPI-754474071330-UPI,3264536664246697,18/11/25,599.00,,12233.00
18/11/25,UPI-STARBUCKS-PAYTMQR711878@PTYS-SBIP0123456-496852403351-UPI,9985020032138724,18/11/25,344.00,,13332.00
18/11/25,UPI-ANANDA RAJ C-Q911514914@YBL-YESB0YBLUPI-267974663989-UPI,7129230970992268,18/11/25,500.00,,12832.00
18/11/25,UPI-CHINNAMANI V VIJAYAS-Q253407200@HDFCBANK-YESB0YBLUPI-251461507038-UPI,6056356528134425,18/11/25,500.00,,13676.00
18/11/25,IMPS-SELF-HDFC-893195777447,8969465069507095,18/11/25,2000.00,,10233.00
18/12/25,UPI-ZAVIAN RESTAURANT-PAYTMQR425845@PTYS-YESB0PTMUPI-115250737438-UPI,1839551894557689,18/12/25,685.00,,3584.00
18/12/25,UPI-STARBUCKS-PAYTMQR255813@PTYS-SBIP0123456-690328426008-UPI,3994353896819450,18/12/25,615.00,,969.00
18/12/25,UPI-GAYATHRI ELUMALAI-Q981058292@PTYS-YESB0YBLUPI-409248663017-UPI,6286665956676196,18/12/25,750.00,,1584.00
18/12/25,UPI-ANANDA RAJ C-Q361704064@HDFCBANK-YESB0YBLUPI-707552271685-UPI,2716863284457850,18/12/25,500.00,,2334.00
18/12/25,UPI-GOPALAKRISHNAN S-Q226128312@HDFCBANK-YESB0YBLUPI-646122147534-UPI,7353783529762740,18/12/25,750.00,,2834.00
19/11/25,UPI-MYNTRA DESIGNS PRIVA-PAYTMQR216970@PTYS-INDB0MERCHA-578001943304-UPI,1029229201177763,19/11/25,281.00,,9952.00
19/11/25,UPI-CHINNAMANI V VIJAYAS-Q786066793@PTYS-YESB0YBLUPI-767900326356-UPI,4367916441467261,19/11/25,500.00,,7452.00
19/11/25,UPI-RISHI S KITCHEN-PAYTMQR728038@PTYS-HDFC0MERUPI-638263151675-UPI,9368576752999675,19/11/25,139.00,,7313.00
19/11/25,IMPS-SELF-ICICI-240728187316,5280964241255948,19/11/25,2000.00,,4313.00
19/11/25,IMPS-SELF-ICICI-939668623711,9220221692669212,19/11/25,2000.00,,7952.00
19/11/25,UPI-KALISHNATHAN-Q162196678@SBIPAY-YESB0YBLUPI-190532572167-UPI,1623413712840288,19/11/25,1000.00,,6313.00
19/12/25,UPI-STARBUCKS-PAYTMQR577463@PTYS-SBIP0123456-456193888210-UPI,7282510574291907,19/12/25,313.00,,656.00
20/11/25,UPI-RISHI S KITCHEN-PAYTMQR340062@PTYS-HDFC0MERUPI-178728590908-UPI,3508300577791789,20/11/25,646.00,,1667.00
20/11/25,UPI-CHINNAMANI V VIJAYAS-Q570406376@PTYS-YESB0YBLUPI-670799496139-UPI,3232932542062999,20/11/25,1000.00,,2813.00
20/11/25,UPI-KALISHNATHAN-Q731691672@YBL-YESB0YBLUPI-351487177987-UPI,1639447646814806,20/11/25,500.00,,2313.00
20/11/25,UPI-ZAVIAN RESTAURANT-PAYTMQR665427@PTYS-YESB0PTMUPI-895137224815-UPI,5257440346577731,20/11/25,704.00,,963.00
20/11/25,UPI-GAYATHRI ELUMALAI-Q554340903@INDUS-YESB0YBLUPI-336070141120-UPI,3807691902964454,20/11/25,500.00,,3813.00
20/12/25,UPI-KALISHNATHAN-Q769219685@PTYS-YESB0YBLUPI-536766840508-UPI,3959455168580191,20/12/25,300.00,,356.00
21/11/25,UPI-STARBUCKS-PAYTMQR864491@PTYS-SBIP0123456-838967038374-UPI,6820273323556944,21/11/25,789.00,,174.00
21/12/25,UPI-RISHI S KITCHEN-PAYTMQR148225@PTYS-HDFC0MERUPI-973271539679-UPI,4228751514707611,21/12/25,177.00,,179.00
23/12/25,UPI-ZAVIAN RESTAURANT-PAYTMQR758765@PTYS-YESB0PTMUPI-811364515897-UPI,8103172859804064,23/12/25,160.00,,19.00
